Filename	AuditedName	Taxon Order	English Name	French Name	Latin Name	Order	Family
American_Coot_7331.jpg	American Coot 	5500	American Coot	Foulque d'Amérique	Fulica americana	Gruiformes	Rallidae (Rails, Gallinules, and Coots)
American_Crow_7774.jpg	American Crow 	21557	American Crow	Corneille d'Amérique	Corvus brachyrhynchos	Passeriformes	Corvidae (Crows, Jays, and Magpies)
American_Dipper_1727MF.jpg	American Dipper 	27668	American Dipper	Cincle d'Amérique	Cinclus mexicanus	Passeriformes	Cinclidae (Dippers)
American_Dipper_9078.jpg	American Dipper 	27668	American Dipper	Cincle d'Amérique	Cinclus mexicanus	Passeriformes	Cinclidae (Dippers)
American_Flamingo_5674.jpg	American Flamingo 	6807	American Flamingo	Flamant des Caraïbes	Phoenicopterus ruber	Phoenicopteriformes	Phoenicopteridae (Flamingos)
American_Flamingo_6193.jpg	American Flamingo 	6807	American Flamingo	Flamant des Caraïbes	Phoenicopterus ruber	Phoenicopteriformes	Phoenicopteridae (Flamingos)
American_Flamingo_6544.jpg	American Flamingo 	6807	American Flamingo	Flamant des Caraïbes	Phoenicopterus ruber	Phoenicopteriformes	Phoenicopteridae (Flamingos)
American_Flamingo_6583.jpg	American Flamingo 	6807	American Flamingo	Flamant des Caraïbes	Phoenicopterus ruber	Phoenicopteriformes	Phoenicopteridae (Flamingos)
American_Golden-Plover_7631.jpg	American Golden-Plover 	5815	American Golden-Plover	Pluvier bronzé	Pluvialis dominica	Charadriiformes	Charadriidae (Plovers and Lapwings)
American Goldfinch-001.jpg	American Goldfinch	32617	American Goldfinch	Chardonneret jaune	Spinus tristis	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
American_Goldfinch_7166MF.jpg	American Goldfinch 	32617	American Goldfinch	Chardonneret jaune	Spinus tristis	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
American_Goldfinch_9264.jpg	American Goldfinch 	32617	American Goldfinch	Chardonneret jaune	Spinus tristis	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
American_Goldfinch_9277.jpg	American Goldfinch 	32617	American Goldfinch	Chardonneret jaune	Spinus tristis	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
American_Goldfinch_9378.jpg	American Goldfinch 	32617	American Goldfinch	Chardonneret jaune	Spinus tristis	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
American_Goldfinch.jpg	American Goldfinch 	32617	American Goldfinch	Chardonneret jaune	Spinus tristis	Passeriformes	Fringillidae (Finches, Euphonias, and Allies)
American_Herring_Gull_1497MF.jpg	American Herring Gull	6539	American Herring Gull	Goéland hudsonien	Larus smithsonianus	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
American_Herring_Gull_1615.jpg	American Herring Gull	6539	American Herring Gull	Goéland hudsonien	Larus smithsonianus	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
American_Herring_Gull_2404.jpg	American Herring Gull	6539	American Herring Gull	Goéland hudsonien	Larus smithsonianus	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
American_Kestrel_0882.jpg	American Kestrel 	12028	American Kestrel	Crécerelle d'Amérique	Falco sparverius	Falconiformes	Falconidae (Falcons and Caracaras)
American_Kestrel_2799.jpg	American Kestrel 	12028	American Kestrel	Crécerelle d'Amérique	Falco sparverius	Falconiformes	Falconidae (Falcons and Caracaras)
American_Kestrel_7580MF.jpg	American Kestrel 	12028	American Kestrel	Crécerelle d'Amérique	Falco sparverius	Falconiformes	Falconidae (Falcons and Caracaras)
American_Oystercatcher_2017_3611-Edit.jpg	American Oystercatcher 	5799	American Oystercatcher	Huîtrier d'Amérique	Haematopus palliatus	Charadriiformes	Haematopodidae (Oystercatchers)
American_Oystercatcher_20187.jpg	American Oystercatcher 	5799	American Oystercatcher	Huîtrier d'Amérique	Haematopus palliatus	Charadriiformes	Haematopodidae (Oystercatchers)
American_Oystercatcher_22567.jpg	American Oystercatcher 	5799	American Oystercatcher	Huîtrier d'Amérique	Haematopus palliatus	Charadriiformes	Haematopodidae (Oystercatchers)
American_Oystercatcher_6498.jpg	American Oystercatcher 	5799	American Oystercatcher	Huîtrier d'Amérique	Haematopus palliatus	Charadriiformes	Haematopodidae (Oystercatchers)
American_Oystercatcher_6500.jpg	American Oystercatcher 	5799	American Oystercatcher	Huîtrier d'Amérique	Haematopus palliatus	Charadriiformes	Haematopodidae (Oystercatchers)
American_Oystercatcher_7706MF.jpg	American Oystercatcher 	5799	American Oystercatcher	Huîtrier d'Amérique	Haematopus palliatus	Charadriiformes	Haematopodidae (Oystercatchers)
American_Pipit_991.jpg	American Pipit 	31883	American Pipit	Pipit d'Amérique	Anthus rubescens	Passeriformes	Motacillidae (Wagtails and Pipits)
American_Pygmy_Kingfisher_7384.jpg	American Pygmy Kingfisher	10313	American Pygmy Kingfisher	Martin-pêcheur nain	Chloroceryle aenea	Coraciiformes	Alcedinidae (Kingfishers)
American_Pygmy_Kingfisher_8916.jpg	American Pygmy Kingfisher	10313	American Pygmy Kingfisher	Martin-pêcheur nain	Chloroceryle aenea	Coraciiformes	Alcedinidae (Kingfishers)
American Redstart-006.jpg	American Redstart	34058	American Redstart	Paruline flamboyante	Setophaga ruticilla	Passeriformes	Parulidae (New World Warblers)
American_redstart_1003.jpg	American Redstart 	34058	American Redstart	Paruline flamboyante	Setophaga ruticilla	Passeriformes	Parulidae (New World Warblers)
American_Redstart_1421.jpg	American Redstart 	34058	American Redstart	Paruline flamboyante	Setophaga ruticilla	Passeriformes	Parulidae (New World Warblers)
American_Redstart_20644.jpg	American Redstart 	34058	American Redstart	Paruline flamboyante	Setophaga ruticilla	Passeriformes	Parulidae (New World Warblers)
American_Redstart_2599.jpg	American Redstart 	34058	American Redstart	Paruline flamboyante	Setophaga ruticilla	Passeriformes	Parulidae (New World Warblers)
American_Redstart_2840.jpg	American Redstart 	34058	American Redstart	Paruline flamboyante	Setophaga ruticilla	Passeriformes	Parulidae (New World Warblers)
American_Redstart_6352.jpg	American Redstart 	34058	American Redstart	Paruline flamboyante	Setophaga ruticilla	Passeriformes	Parulidae (New World Warblers)
American_Redstart_6428.jpg	American Redstart 	34058	American Redstart	Paruline flamboyante	Setophaga ruticilla	Passeriformes	Parulidae (New World Warblers)
American_Redstart_8238.jpg	American Redstart 	34058	American Redstart	Paruline flamboyante	Setophaga ruticilla	Passeriformes	Parulidae (New World Warblers)
American_Robin_on_nest_1776MF.jpg	American Robin 	28633	American Robin	Merle d'Amérique	Turdus migratorius	Passeriformes	Turdidae (Thrushes and Allies)
American_Three-toed_Woodpecker_6939.jpg	American Three-toed Woodpecker	11216	American Three-toed Woodpecker	Pic à dos rayé	Picoides dorsalis	Piciformes	Picidae (Woodpeckers)
American_Tree_Sparrow_1905.jpg	American Tree Sparrow	33095	American Tree Sparrow	Bruant hudsonien	Spizelloides arborea	Passeriformes	Passerellidae (New World Sparrows)
American_Tree_Sparrow_9143.jpg	American Tree Sparrow	33095	American Tree Sparrow	Bruant hudsonien	Spizelloides arborea	Passeriformes	Passerellidae (New World Sparrows)
American_Tree_Sparrow_9179.jpg	American Tree Sparrow	33095	American Tree Sparrow	Bruant hudsonien	Spizelloides arborea	Passeriformes	Passerellidae (New World Sparrows)
American_White_Pelican_1366.jpg	American White Pelican	7791	American White Pelican	Pélican d'Amérique	Pelecanus erythrorhynchos	Pelecaniformes	Pelecanidae (Pelicans)
American_White_Pelican_3471.jpg	American White Pelican	7791	American White Pelican	Pélican d'Amérique	Pelecanus erythrorhynchos	Pelecaniformes	Pelecanidae (Pelicans)
American_White_Pelican_7130MF.jpg	American White Pelican	7791	American White Pelican	Pélican d'Amérique	Pelecanus erythrorhynchos	Pelecaniformes	Pelecanidae (Pelicans)
American_Wigeon_2161.jpg	American Wigeon 	517	American Wigeon	Canard d'Amérique	Mareca americana	Anseriformes	Anatidae (Ducks, Geese, and Waterfowl)
American_Wigeon_2906.jpg	American Wigeon 	517	American Wigeon	Canard d'Amérique	Mareca americana	Anseriformes	Anatidae (Ducks, Geese, and Waterfowl)
American_Wigeon_8995.jpg	American Wigeon 	517	American Wigeon	Canard d'Amérique	Mareca americana	Anseriformes	Anatidae (Ducks, Geese, and Waterfowl)
Andean_Cock-of-the-Rock_6555.jpg	Andean Cock-of-the-rock 	15900	Andean Cock-of-the-rock	Coq-de-roche péruvien	Rupicola peruvianus	Passeriformes	Cotingidae (Cotingas)
Andean_Condor_6812.jpg	Andean Condor 	7810	Andean Condor	Condor des Andes	Vultur gryphus	Cathartiformes	Cathartidae (New World Vultures)
Andean_Condor_7121.jpg	Andean Condor 	7810	Andean Condor	Condor des Andes	Vultur gryphus	Cathartiformes	Cathartidae (New World Vultures)
Andean_Duck_7065.jpg	Andean Duck 	780	Andean Duck	Érismature des Andes	Oxyura ferruginea	Anseriformes	Anatidae (Ducks, Geese, and Waterfowl)
Andean_Emerald_5215.jpg	Andean Emerald 	5130	Andean Emerald	Ariane de Francia	Uranomitra franciae	Apodiformes	Trochilidae (Hummingbirds)
Andean_Emerald_6062.jpg	Andean Emerald 	5130	Andean Emerald	Ariane de Francia	Uranomitra franciae	Apodiformes	Trochilidae (Hummingbirds)
Andean_Gull_6973.jpg	Andean Gull 	6470	Andean Gull	Mouette des Andes	Chroicocephalus serranus	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
Andean_Gull_6981.jpg	Andean Gull 	6470	Andean Gull	Mouette des Andes	Chroicocephalus serranus	Charadriiformes	Laridae (Gulls, Terns, and Skimmers)
Andean_Ibis_6966.jpg	Andean Ibis 	7488	Andean Ibis	Ibis des Andes	Theristicus branickii	Pelecaniformes	Threskiornithidae (Ibises and Spoonbills)
Andean_Motmot_3307.jpg	Andean Motmot 	9880	Andean Motmot	Motmot d'Équateur	Momotus aequatorialis	Coraciiformes	Momotidae (Motmots)
Andean_Motmot_5971.jpg	Andean Motmot 	9880	Andean Motmot	Motmot d'Équateur	Momotus aequatorialis	Coraciiformes	Momotidae (Motmots)
Andean_Pygmy-owl_5185.jpg	Andean Pygmy-Owl 	9022	Andean Pygmy-Owl	Chevêchette des Andes	Glaucidium jardinii	Strigiformes	Strigidae (Owls)
Andean_Tit-Spinetail_421.jpg	Andean Tit-Spinetail 	15336	Andean Tit-Spinetail	Synallaxe des Andes	Leptasthenura andicola	Passeriformes	Furnariidae (Ovenbirds and Woodcreepers)
Anhinga_0317.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_034.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_0997.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_20543.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_2216.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_2792.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_3256.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_3258.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_6822MF.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_8593MF.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_9728.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_juveniles_4963.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Anhinga_with_fish_4550.jpg	Anhinga  	7367	Anhinga	Anhinga d'Amérique	Anhinga anhinga	Suliformes	Anhingidae (Anhingas)
Annas_Hummingbird_2428.jpg	Anna's Hummingbird	4814	Anna's Hummingbird	Colibri d'Anna	Calypte anna	Apodiformes	Trochilidae (Hummingbirds)
Annas_Hummingbird_3628.jpg	Anna's Hummingbird	4814	Anna's Hummingbird	Colibri d'Anna	Calypte anna	Apodiformes	Trochilidae (Hummingbirds)
