Common Name	In Lightroom	In R2	In eBird	AKA
Far Eastern Curlew	No jpg			
Fawn-throated Foliage-gleaner	No jpg			
Fiery-billed Aracari	No jpg			
Fish Crow	No jpg			
Flavescent Flycatcher	No jpg			
Florida Scrub-Jay	No jpg			
Forest Elaenia	No jpg			
Forest Fody	No jpg			
Forest Raven	No jpg			
Fork-tailed Palm Swift	No jpg			
Forty-spotted Pardalote	Yes	Yes	Yes	
Franklin's Gull	No jpg			
Fuscous Flycatcher	No jpg			
Fuscous Honeyeater	No jpg			
Gabar Goshawk	Yes	Yes	Yes	
Garden Emerald	No jpg			
Glossy Black-Cockatoo	No jpg			
Glossy-black Thrush	No jpg			
Golden-breasted Puffleg	Yes	Yes	Yes	
Golden-crowned Spadebill	No jpg			
Golden-crowned Tanager	No jpg			
Golden-crowned Warbler	No jpg			
Golden-fronted Woodpecker	No jpg			
Golden-headed Quetzal	No jpg			
Golden-tailed Woodpecker	Yes	Yes	Yes	
Golden-winged Manakin	No jpg			
Golden-winged Sparrow	No jpg			
Gorgeted Sunangel	No jpg			
Grace's Warbler	No jpg			
Grass-green Tanager	No jpg			
Grassland Yellow-Finch	No jpg			
Gray Partridge	Yes	Yes	Yes	
Gray-breasted Martin	No jpg			
Gray-cheeked Thrush	No jpg			
Gray-chested Dove	No jpg			
Gray-fronted Dove	No jpg			
Gray-fronted Honeyeater	Yes	Yes	Yes	
Gray-headed Bushshrike	Yes	??	??	
Gray-headed Kite	No jpg			
Gray-hooded Gull	Yes	Yes	Yes	
Gray-rumped Swift	No jpg			
Gray-throated Leaftosser	No jpg			
Great Gray Owl	Yes	Yes	Yes	
Great Jacamar	Yes	Yes	Yes	
Great Tinamou	No jpg			
Great Tit	No jpg			
Greater Bluebonnet	No jpg			
Greater Flamingo	No jpg			
Greater Kestrel	Yes	Yes	Yes	
Greater Roadrunner	Yes	Yes	Yes	
Greater Striped Swallow	No jpg			
Green Hermit				
Green Jay				
Green Jery				
Green-backed Sparrow				
Green-backed Trogon				
Green-throated Mango				
Grosbeak Weaver	Yes	Yes	Yes	
Guianan Violaceous Trogon				
Guira Tanager				
Hadada Ibis				
Half-collared Kingfisher				
Hardhead				
Hawaii Creeper				
Hawaii Elepaio				
Hawaiian Hawk				
Henslow's Sparrow				
Hooded Crow				
Hooded Oriole				
Hooded Siskin				
Hooded Tanager				
Inland Thornbill				
Jacky-winter				
Jet Antbird				
King Vulture				
Kurrichane Thrush				
Lacrimose Mountain Tanager				
Large-billed Tern				
Lark Sparrow				
Lark-like Bunting				
Laughing Dove	Yes	Yes	Yes	
Lesser Crested Tern				
Lesser Goldfinch				
Lesser Greenlet				
Lesser Jacana				
Lesser Masked-Weaver	Yes	Yes	Yes	
Lesser Swallow-tailed Swift				
Lesser Vasa Parrot				
Lewin's Honeyeater				
Lineated Foliage-gleaner				
Lined Quail-Dove				
Little Crow				
Little Grassbird				
Little Grebe	yes	yes	yes	
Little Hermit				
Little Stint				
Little Tern				
Long-billed Bernieria				
Long-billed Crombec				
Long-billed Gnatwren				
Long-crested Eagle				
Long-tailed Manakin				
Longuemare's Sunangel				
Madagascar Cuckoo-Hawk				
Madagascar Cuckooshrike				
Madagascar Forest Rail				
Madagascar Green-Pigeon				
Madagascar Martin				
Madagascar Munia				
Madagascar Partridge				
Madagascar Sparrowhawk				
Madagascar Wagtail				
Malagasy Brush-Warbler				
Malagasy Coucal				
Malagasy Palm Swift				
Malagasy Paradise-Flycatcher				
Malagasy Sunbird				
Malagasy Swift				
Malagasy Turtle-Dove				
Malagasy White-eye				
Mangrove Vireo				
Mangrove Yellow Warbler				
Marble-faced Bristle-Tyrant				
Marico Sunbird	Yes	Yes	Yes	
Maroon-tailed Parakeet				
Mascarene Martin				
Masked Water-Tyrant				
Meves's Starling				
Mexican Sheartail				
Meyer's Parrot				
Mistletoe Tyrannulet				
Montane Foliage-gleaner				
Mountain Chickadee				
Mountain Grackle				
Mountain Velvetbreast				
Mourning Collared-Dove				
Mouse-colored Tyrannulet				
Muisca Antpitta				
Muscovy Duck				
Namaqua Sandgrouse				
Natal Spurfowl				
Nelicourvi Weaver				
Nicaraguan Seed-Finch				
Nightingale Wren				
Northern Bentbill				
Northern Schiffornis				
Northern Slaty Brushfinch				
Northern White-fringed Antwren				
Nuthatch-Vanga				
Ocellated Antbird				
Ocellated Tapaculo				
Ochre-bellied Flycatcher				
Ochre-breasted Tanager				
Ochre-crowned Greenlet				
Olivaceous Woodcreeper				
Olive Sparrow				
Olive Whistler				
Olive-sided Flycatcher				
Olive-striped Flycatcher				
One-colored Becard				
Orange-bellied Euphonia				
Orange-billed Nightingale-Thrush				
Orange-crowned Oriole				
Orange-fronted Barbet				
Orange-throated Longclaw				
Ornate Flycatcher				
Ornate Hawk-Eagle				
Painted Buttonquail				
Pale Flycatcher	Yes	Yes	Yes	
Pale-bellied Hermit				
Pale-bellied Tapaculo				
Pale-edged Flycatcher				
Pale-eyed Pygmy-Tyrant				
Pale-mandibled Aracari				
Pale-naped Brushfinch				
Pallid Dove				
Paramo Tapaculo				
Pied Butcherbird				
Pied Crow				
Pigeon Guillemot				
Pilotbird				
Pink-footed Shearwater				
Piping Plover				
Pitta-like Ground-Roller				
Plain-breasted Ground Dove				
Plain-capped Ground-Tyrant				
Plain-colored Seedeater				
Plain-tailed Wren				
Plate-billed Mountain-Toucan				
Plumbeous Pigeon				
Pollen's Vanga				
Purple-banded Sunbird	Yes	Yes	Yes	
Purple-chested Hummingbird				
Purple-crested Turaco	Yes	Yes	Yes	
Rattling Cisticola	Yes	Yes	Yes	
Razorbill				
Red Knot				
Red-billed Quelea				
Red-billed Scythebill				
Red-cheeked Cordonbleu				
Red-collared Widowbird				
Red-crested Cardinal				
Red-crested Cotinga				
Red-headed Finch				
Red-knobbed Coot	yes	yes	yes	
Red-tailed Tropicbird				
Red-throated Caracara				
Restless Flycatcher				
Ridgway's Rail				
Ring-necked Dove				
Ring-necked Pheasant				
Riverside Wren				
Rock Pigeon				
Ruddy Foliage-gleaner				
Ruddy Pigeon				
Ruddy-breasted Seedeater				
Ruff				
Rufous Fieldwren				
Rufous Mourner				
Rufous Wren				
Rufous-and-white Wren				
Rufous-breasted Flycatcher				
Rufous-breasted Hermit				
Rufous-breasted Wren				
Rufous-browed Tyrannulet				
Rufous-chested Swallow				
Russet Antshrike				
Rusty Sparrow				
Rusty-headed Spinetail				
Rppell's Griffon				
Sahul Cicadabird				
Santa Marta Antbird				
Santa Marta Blossomcrown				
Santa Marta Tapaculo				
Santa Marta Warbler				
Sapayoa				
Sapphire-vented Puffleg				
Say's Phoebe				
Scale-crested Pygmy-Tyrant				
Scaled Pigeon				
Scaly-breasted Wren				
Scaly-naped Amazon				
Scaly-naped Pigeon				
Scaly-throated Leaftosser				
Scarlet-chested Sunbird	Yes	Yes	Yes	
Scarlet-rumped Cacique				
Scarlet-thighed Dacnis				
Scintillant Hummingbird				
Scrub Blackbird				
Scrubtit				
Sepia-capped Flycatcher				
Sharp-shinned Hawk				
Sharpe's Wren				
Shikra				
Short-billed Gull				
Short-tailed Emerald				
Short-tailed Nighthawk				
Short-tailed Shearwater				
Short-tailed Swift				
Shy Heathwren				
Sierran Elaenia				
Silvery Grebe				
Silvery-throated Spinetail				
Slate-colored Coot				
Slate-colored Grosbeak				
Slate-colored Seedeater				
Slate-headed Tody-Flycatcher				
Slaty Antwren				
Slaty-backed Nightingale-Thrush				
Slaty-capped Flycatcher				
Slaty-capped Shrike-Vireo				
Slender-billed Tyrannulet				
Smoky Bush-Tyrant				
Snowy-bellied Hummingbird				
Sombre Greenbul	Yes	Yes	Yes	
Sooty Shearwater				
Sooty Tern				
Sooty Thrush				
South African Shelduck				
Southern Beardless-Tyrannulet				
Southern Bentbill				
Southern Black-Tit	Yes	Yes	Yes	
Southern Brown-throated Weaver				
Southern Crag-Martin				
Southern Crested Guineafowl	Yes	Yes	Yes	
Southern Emerald-Toucanet				
Southern Emuwren				
Southern Masked-Weaver	Yes	Yes	Yes	
Southern Pochard	Yes	Yes	Yes	
Southern Red Bishop	Yes	Yes	Yes	
Speckle-breasted Wren				
Speckled Hummingbird				
Speckled Nightingale-Thrush				
Speckled Tanager				
Spot-breasted Wren				
Spotted Eagle-Owl				
Square-tailed Drongo	Yes	Yes	Yes	
Straw-necked Ibis				
Streak-backed Canastero				
Streak-capped Treehunter				
Streak-chested Antpitta				
Streak-headed Antbird				
Streak-necked Flycatcher				
Streaked Tuftedcheek				
Streaked Xenops				
Striated Thornbill				
Stripe-breasted Spinetail				
Striped Cuckoo				
Striped Kingfisher				
Stub-tailed Spadebill				
Sulphur-rumped Flycatcher				
Swainson's Hawk				
Tawny-faced Gnatwren				
Temminck's Courser				
Thick-billed Grasswren				
Thicket Antpitta				
Three-striped Warbler				
Tocuyo Sparrow				
Topknot Pigeon				
Tree Martin				
Trumpeter Hornbill	Yes	Yes	Yes	
Tufted Duck				
Tufted Tit-Tyrant				
Turquoise Dacnis				
Turquoise Jay				
Turquoise Tanager				
Tyrian Metaltail				
Vaux's Swift				
Veraguan Mango				
Verreaux's Eagle-Owl				
Village Indigobird				
Violet-eared Waxbill				
Violet-headed Hummingbird				
Wahlberg's Eagle	Yes	Yes	Yes	
Wattled Lapwing	Yes	Yes	Yes	
Wedge-billed Woodcreeper				
Wedge-tailed Sabrewing				
Weebill				
Western Bluebird				
Western Grebe				
Western House-Martin				
Western Spindalis				
Whistling Heron				
White-backed Vulture				
White-bellied Emerald				
White-bellied Mountain-gem				
White-bellied Sea-Eagle				
White-browed Gnatcatcher				
White-browed Scrub-Robin	Yes	Yes	Yes	
White-browed Spinetail				
White-browed Treecreeper				
White-capped Albatross				
White-cheeked Pintail				
White-crested Elaenia				
White-eared Barbet	Yes	Yes	Yes	
White-eared Conebill				
White-faced Ibis				
White-flanked Antwren				
White-fronted Nunbird				
White-headed Vanga				
White-quilled Bustard				
White-ruffed Manakin				
White-tailed Hawk				
White-tailed Tyrannulet				
White-thighed Swallow				
White-throated Daggerbill				
White-throated Oxylabes				
White-throated Screech-Owl				
White-throated Shrike-Tanager				
White-throated Spadebill				
White-tipped Quetzal				
White-tipped Sicklebill				
White-tipped Swift				
White-vented Euphonia				
White-winged Crossbill				
White-winged Fairywren				
Whooping Crane				
Woodhouse's Scrub-Jay				
Worm-eating Warbler				
Yellow Thornbill				
Yellow Tyrannulet				
Yellow-bellied Greenbul	Yes	Yes	Yes	
Yellow-billed Chough				
Yellow-billed Duck	Yes	Yes	Yes	
Yellow-billed Oxpecker				
Yellow-breasted Apalis				
Yellow-breasted Brushfinch				
Yellow-green Tyrannulet				
Yellow-headed Amazon				
Yellow-olive Flatbill				
Yellow-rumped Tinkerbird	Yes	Yes	Yes	
Yellow-tailed Oriole				
Yellow-throated Miner				
Yellow-vented Woodpecker				
Yellow-winged Flatbill				
Yellow-winged Tanager				
Yellow-winged Vireo				
Zebra Finch				
Zeledon's Antbird				
Zone-tailed Hawk				
