Filename	FileID	Prefix	DirectLink
Order-Eurypygiformes.html	1ZeaWH1aYWHCiUnEkaEvuFGR6tvjMvX1n	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1ZeaWH1aYWHCiUnEkaEvuFGR6tvjMvX1n
Order-Ciconiiformes.html	1PkxDpnM8WKE4KdyJzLromzHk6fd44c76	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1PkxDpnM8WKE4KdyJzLromzHk6fd44c76
Order-Tinamiformes.html	18-MQgDtsjBZynNntpnG80u7Wgziq1Npn	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/18-MQgDtsjBZynNntpnG80u7Wgziq1Npn
Order-Pterocliformes.html	1G_Xg33ekQes5aTSNeO9W2XfOp_uUYL8a	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1G_Xg33ekQes5aTSNeO9W2XfOp_uUYL8a
Order-Pelecaniformes.html	16FWvHppYthJcQOcMmnJaDQAPZxpC9uGA	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/16FWvHppYthJcQOcMmnJaDQAPZxpC9uGA
Order-Nyctibiiformes.html	1tFCO85ScIfKXksBKUCO0Don0abuEyn6i	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1tFCO85ScIfKXksBKUCO0Don0abuEyn6i
Order-Falconiformes.html	1aiFle5InP2LgwlE4Wlccia7IfW4DeEJ-	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1aiFle5InP2LgwlE4Wlccia7IfW4DeEJ-
Order-Galliformes.html	1-3zyNoPlru1oRMgIHHIhi6j1fpQ40uCC	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1-3zyNoPlru1oRMgIHHIhi6j1fpQ40uCC
Order-Charadriiformes.html	1xUXuAQOMLmo-ZPzn_R3OdS5HsUu8o7rz	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1xUXuAQOMLmo-ZPzn_R3OdS5HsUu8o7rz
Order-Phaethontiformes.html	1a_BrrMYrcgxc6al_KgoiUw_SCo6RcI7Q	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1a_BrrMYrcgxc6al_KgoiUw_SCo6RcI7Q
Order-Coliiformes.html	1960zEeHYJvAXFJcwtSfPZGc8EKeubIa7	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1960zEeHYJvAXFJcwtSfPZGc8EKeubIa7
Order-Piciformes.html	1JTieYdafVbdB_5toY0nvEUIsoiRHuhV2	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1JTieYdafVbdB_5toY0nvEUIsoiRHuhV2
Order-Gruiformes.html	1BKw1-veOxQjFA-TpSVNfQ_e4ZawZp24k	https://lh3.googleusercontent.com/d/	https://lh3.googleusercontent.com/d/1BKw1-veOxQjFA-TpSVNfQ_e4ZawZp24k
